"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",92,606355,98,78,648049,520529.75
"Paup vs Anagallis",70,471736,76,64,478263,457032
"Morphy vs Anagallis",77,646810,84,70,754278.5,198636.75
