"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.429906542056075,0.157125193684,0.457943925233645,0.364485981308411,0.16709134654742,0.135973386787891
"Paup vs Anagallis",0.327102803738318,0.122241278405745,0.355140186915888,0.299065420560748,0.123314145494876,0.11938643067076
"Morphy vs Anagallis",0.35981308411215,0.167608326024768,0.392523364485981,0.327102803738318,0.194481297304322,0.0518881228941084
