"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",2,37,4,2,74,20
"Paup vs Anagallis",2,37,4,2,74,20
"Morphy vs Anagallis",2,20,2,0,20,0
