"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.230769230769231,0.0538412783133736,0.256410256410256,0.153846153846154,0.079300253197856,0.039883548713986
"Paup vs Anagallis",0.102564102564103,0.0208760049371185,0.128205128205128,0.0769230769230769,0.0363947255927132,0.00524640834544955
"Morphy vs Anagallis",0.205128205128205,0.0508923508022818,0.256410256410256,0.128205128205128,0.0565551938443326,0.00949979495626298
