"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",20,4309,20,10,4334.5,2154.5
"Paup vs Anagallis",0,0,0,0,0,0
"Morphy vs Anagallis",20,4309,20,10,4334.5,2154.5
