"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",64,118215,68,60,122676.5,88054.5
"Paup vs Anagallis",64,313466.5,68,60,340591.25,244002.5
"Morphy vs Anagallis",74,326986.5,76,70,347042.75,239891
