"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.463768115942029,0.171960971848964,0.492753623188406,0.434782608695652,0.176524696787376,0.129245442606324
"Paup vs Anagallis",0.463768115942029,0.455982776991865,0.492753623188406,0.434782608695652,0.490091966551731,0.358144230102375
"Morphy vs Anagallis",0.536231884057971,0.475649590335332,0.550724637681159,0.507246376811594,0.499375318141675,0.352109414876851
