"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.333333333333333,0.108682042421055,0.357142857142857,0.261904761904762,0.124648052993252,0.0716779266413285
"Paup vs Anagallis",0.357142857142857,0.12397766258483,0.404761904761905,0.30952380952381,0.147182566705875,0.100824377400837
"Morphy vs Anagallis",0.30952380952381,0.108807252147347,0.357142857142857,0.214285714285714,0.13275552528942,0.0693015261264418
