"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",28,10850,30,22,12584,7058
"Paup vs Anagallis",30,12377,34,26,14859,9928
"Morphy vs Anagallis",26,10862.5,30,18,13402.5,6824
