"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",20,2848,24,14,3186,2356
"Paup vs Anagallis",12,1374,16,8,2098,684
"Morphy vs Anagallis",16,2654,18,14,2840,2064
