"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.5,0.477651991614256,0.6,0.368421052631579,0.522873671685882,0.404776221974057
"Paup vs Anagallis",0.3,0.230440251572327,0.4,0.210526315789474,0.344315431009724,0.117515677347307
"Morphy vs Anagallis",0.4,0.445115303983229,0.45,0.368421052631579,0.466089525294383,0.354608710591874
