"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",74,317450,82,70,374742,290809.5
"Paup vs Anagallis",62,267063,68,60,343614,264660
"Morphy vs Anagallis",84,349633,88,78,371331,333876
