"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.4625,0.258256037533157,0.5125,0.4375,0.303002824111292,0.239294581302677
"Paup vs Anagallis",0.3875,0.217264552375862,0.425,0.375,0.277833849432883,0.21777728680654
"Morphy vs Anagallis",0.525,0.284437968722098,0.55,0.4875,0.300244812911471,0.274732144675509
