"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.630434782608696,0.305477175488844,0.652173913043478,0.58695652173913,0.383730167737249,0.25815178800947
"Paup vs Anagallis",0.695652173913043,0.529910540645663,0.760869565217391,0.652173913043478,0.565447558320428,0.472876508433566
"Morphy vs Anagallis",0.695652173913043,0.520299847954457,0.717391304347826,0.630434782608696,0.567289577662504,0.458538637291048
