"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",58,43196,60,54,54944.5,35901.75
"Paup vs Anagallis",64,74932,70,60,80963.75,65764
"Morphy vs Anagallis",64,73573,66,58,81227.5,63770
