"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",0.555555555555556,0.57559347992561,0.592592592592593,0.481481481481481,0.623605276536537,0.332884626170845
"Paup vs Anagallis",0.518518518518518,0.30237391970244,0.592592592592593,0.222222222222222,0.332325475610735,0.0958550675865164
"Morphy vs Anagallis",0.518518518518518,0.462914341975714,0.62962962962963,0.333333333333333,0.610989216814278,0.211635537607269
