"","Robinson-Foulds Distance","Quartet Distances","Robinson-Foulds Distance UQ","Robinson-Foulds Distance LQ","Quartet Distances UQ","Quartet Distances LQ"
"Paup vs Morphy",30,10523,32,26,11653,5935
"Paup vs Anagallis",28,5528,32,12,6210,1709
"Morphy vs Anagallis",28,8463,34,18,11417.25,3773.25
